"id"	"symbol"	"Tau"	"class"	"whichMAX"	"nbMAX"	"day"
"1"	"ENSMUSG00000000247"	"Lhx2"	1	"specific"	"FAPs"	1	"D0"
"7"	"ENSMUSG00000002459"	"Rgs20"	0.901980540428461	"specific"	"FAPs"	1	"D0"
"15"	"ENSMUSG00000004031"	"Brinp2"	1	"specific"	"sCs"	1	"D0"
"18"	"ENSMUSG00000004872"	"Pax3"	1	"specific"	"sCs"	1	"D0"
"20"	"ENSMUSG00000005338"	"Cadm3"	0.819719532985053	"specific"	"FAPs"	1	"D0"
"24"	"ENSMUSG00000005681"	"Apoa2"	1	"specific"	"sCs"	1	"D0"
"32"	"ENSMUSG00000006542"	"Prkag3"	0.813768123215832	"specific"	"FAPs"	1	"D0"
"47"	"ENSMUSG00000010175"	"Prox1"	1	"specific"	"sCs"	1	"D0"
"49"	"ENSMUSG00000010311"	"Optc"	0.832768750871513	"specific"	"FAPs"	1	"D0"
"57"	"ENSMUSG00000014602"	"Kif1a"	1	"specific"	"sCs"	1	"D0"
"58"	"ENSMUSG00000014852"	"Adamts13"	1	"specific"	"sCs"	1	"D0"
"62"	"ENSMUSG00000015085"	"Entpd2"	0.820013861266817	"specific"	"FAPs"	1	"D0"
"65"	"ENSMUSG00000015093"	"Clic3"	1	"specific"	"FAPs"	1	"D0"
"72"	"ENSMUSG00000015829"	"Tnr"	1	"specific"	"sCs"	1	"D0"
"76"	"ENSMUSG00000016200"	"Syt14"	1	"specific"	"FAPs"	1	"D0"
"77"	"ENSMUSG00000016262"	"Sertad4"	0.8569990079149	"specific"	"FAPs"	1	"D0"
"80"	"ENSMUSG00000016529"	"Il10"	1	"specific"	"ECs"	1	"D0"
"86"	"ENSMUSG00000019230"	"Lhx9"	1	"specific"	"FAPs"	1	"D0"
"89"	"ENSMUSG00000023094"	"Msrb2"	0.86070677710833	"specific"	"FAPs"	1	"D0"
"92"	"ENSMUSG00000025776"	"Crispld1"	0.896289826702332	"specific"	"FAPs"	1	"D0"
"100"	"ENSMUSG00000025902"	"Sox17"	1	"specific"	"sCs"	1	"D0"
"108"	"ENSMUSG00000025930"	"Msc"	0.881070763119491	"specific"	"FAPs"	1	"D0"
"110"	"ENSMUSG00000025934"	"Gsta3"	0.91675534183582	"specific"	"FAPs"	1	"D0"
"129"	"ENSMUSG00000026023"	"Cdk15"	1	"specific"	"sCs"	1	"D0"
"136"	"ENSMUSG00000026039"	"Sgo2a"	0.863867288571966	"specific"	"ECs"	1	"D0"
"141"	"ENSMUSG00000026062"	"Slc9a2"	1	"specific"	"sCs"	1	"D0"
"145"	"ENSMUSG00000026080"	"Chst10"	1	"specific"	"FAPs"	1	"D0"
"162"	"ENSMUSG00000026126"	"Ptpn18"	0.834926313716159	"specific"	"ECs"	1	"D0"
"165"	"ENSMUSG00000026141"	"Col19a1"	1	"specific"	"sCs"	1	"D0"
"174"	"ENSMUSG00000026162"	"Nhej1"	1	"specific"	"FAPs"	1	"D0"
"175"	"ENSMUSG00000026163"	"Sphkap"	0.879669800639523	"specific"	"FAPs"	1	"D0"
"195"	"ENSMUSG00000026224"	"4933407L21Rik"	0.826181766862969	"specific"	"ECs"	1	"D0"
"206"	"ENSMUSG00000026259"	"Ngef"	0.803689380635171	"specific"	"FAPs"	1	"D0"
"208"	"ENSMUSG00000026271"	"Gpr35"	1	"specific"	"FAPs"	1	"D0"
"210"	"ENSMUSG00000026274"	"Pask"	0.903201696640541	"specific"	"FAPs"	1	"D0"
"217"	"ENSMUSG00000026288"	"Inpp5d"	1	"specific"	"ECs"	1	"D0"
"218"	"ENSMUSG00000026303"	"Mlph"	1	"specific"	"sCs"	1	"D0"
"231"	"ENSMUSG00000026358"	"Rgs1"	1	"specific"	"sCs"	1	"D0"
"237"	"ENSMUSG00000026388"	"3110009E18Rik"	0.858929585074505	"specific"	"FAPs"	1	"D0"
"238"	"ENSMUSG00000026395"	"Ptprc"	1	"specific"	"ECs"	1	"D0"
"240"	"ENSMUSG00000026414"	"Tnnt2"	1	"specific"	"sCs"	1	"D0"
"242"	"ENSMUSG00000026424"	"Gpr37l1"	1	"specific"	"sCs"	1	"D0"
"250"	"ENSMUSG00000026443"	"Lrrn2"	1	"specific"	"FAPs"	1	"D0"
"255"	"ENSMUSG00000026458"	"Ppfia4"	0.875458342759949	"specific"	"ECs"	1	"D0"
"262"	"ENSMUSG00000026479"	"Lamc2"	0.893835822938436	"specific"	"FAPs"	1	"D0"
"275"	"ENSMUSG00000026544"	"Dusp23"	0.836841220514774	"specific"	"FAPs"	1	"D0"
"279"	"ENSMUSG00000026564"	"Dusp27"	1	"specific"	"sCs"	1	"D0"
"281"	"ENSMUSG00000026567"	"Adcy10"	0.913044936179163	"specific"	"FAPs"	1	"D0"
"283"	"ENSMUSG00000026574"	"Dpt"	0.804301646973403	"specific"	"FAPs"	1	"D0"
"287"	"ENSMUSG00000026579"	"F5"	0.970899895493849	"specific"	"ECs"	1	"D0"
"288"	"ENSMUSG00000026580"	"Selp"	1	"specific"	"ECs"	1	"D0"
"289"	"ENSMUSG00000026582"	"Sele"	1	"specific"	"ECs"	1	"D0"
"292"	"ENSMUSG00000026587"	"Astn1"	1	"specific"	"sCs"	1	"D0"
"297"	"ENSMUSG00000026605"	"Cenpf"	0.959106877336186	"specific"	"ECs"	1	"D0"
"299"	"ENSMUSG00000026609"	"Ush2a"	0.941111712687083	"specific"	"sCs"	1	"D0"
"300"	"ENSMUSG00000026611"	"Spata17"	1	"specific"	"sCs"	1	"D0"
"303"	"ENSMUSG00000026620"	"Mark1"	0.867168196588381	"specific"	"sCs"	1	"D0"
"319"	"ENSMUSG00000026675"	"Hsd17b7"	0.80381285217763	"specific"	"FAPs"	1	"D0"
"322"	"ENSMUSG00000026683"	"Nuf2"	1	"specific"	"ECs"	1	"D0"
"323"	"ENSMUSG00000026686"	"Lmx1a"	1	"specific"	"FAPs"	1	"D0"
"325"	"ENSMUSG00000026692"	"Fmo4"	1	"specific"	"FAPs"	1	"D0"
"328"	"ENSMUSG00000026697"	"Myoc"	0.847798765757637	"specific"	"FAPs"	1	"D0"
"332"	"ENSMUSG00000026712"	"Mrc1"	0.97536875763965	"specific"	"ECs"	1	"D0"
"368"	"ENSMUSG00000026828"	"Galnt5"	1	"specific"	"FAPs"	1	"D0"
"373"	"ENSMUSG00000026841"	"Fibcd1"	1	"specific"	"FAPs"	1	"D0"
"385"	"ENSMUSG00000026875"	"Traf1"	0.917612036926249	"specific"	"ECs"	1	"D0"
"401"	"ENSMUSG00000026939"	"Tmem141"	1	"specific"	"ECs"	1	"D0"
"408"	"ENSMUSG00000026963"	"Tmem210"	1	"specific"	"FAPs"	1	"D0"
"414"	"ENSMUSG00000026980"	"Ly75"	1	"specific"	"ECs"	1	"D0"
"416"	"ENSMUSG00000027520"	"Zdbf2"	1	"specific"	"sCs"	1	"D0"
"417"	"ENSMUSG00000028033"	"Kcnq5"	1	"specific"	"sCs"	1	"D0"
"427"	"ENSMUSG00000033488"	"Cryzl2"	1	"specific"	"ECs"	1	"D0"
"434"	"ENSMUSG00000033898"	"Cfhr2"	0.844896034793442	"specific"	"FAPs"	1	"D0"
"442"	"ENSMUSG00000034486"	"Gbx2"	0.857517878438875	"specific"	"FAPs"	1	"D0"
"449"	"ENSMUSG00000036040"	"Adamtsl2"	0.967782973222849	"specific"	"FAPs"	1	"D0"
"463"	"ENSMUSG00000036587"	"Fut7"	1	"specific"	"FAPs"	1	"D0"
"466"	"ENSMUSG00000036731"	"Cysrt1"	1	"specific"	"FAPs"	1	"D0"
"470"	"ENSMUSG00000036975"	"Tmem177"	1	"specific"	"sCs"	1	"D0"
"484"	"ENSMUSG00000037849"	"Ifi206"	1	"specific"	"ECs"	1	"D0"
"486"	"ENSMUSG00000037872"	"Ackr1"	0.928401039223879	"specific"	"FAPs"	1	"D0"
"489"	"ENSMUSG00000038235"	"F11r"	0.822449496035571	"specific"	"ECs"	1	"D0"
"490"	"ENSMUSG00000038242"	"Aox4"	1	"specific"	"FAPs"	1	"D0"
"494"	"ENSMUSG00000038370"	"Pcp4l1"	1	"specific"	"sCs"	1	"D0"
"495"	"ENSMUSG00000038530"	"Rgs4"	1	"specific"	"sCs"	1	"D0"
"500"	"ENSMUSG00000038765"	"Lmx1b"	1	"specific"	"FAPs"	1	"D0"
"510"	"ENSMUSG00000039063"	"Echdc3"	1	"specific"	"FAPs"	1	"D0"
"518"	"ENSMUSG00000039323"	"Igfbp2"	1	"specific"	"FAPs"	1	"D0"
"523"	"ENSMUSG00000039476"	"Prrx2"	1	"specific"	"FAPs"	1	"D0"
"531"	"ENSMUSG00000039787"	"Cercam"	0.8190143773629	"specific"	"FAPs"	1	"D0"
"534"	"ENSMUSG00000040170"	"Fmo2"	0.837944775396668	"specific"	"FAPs"	1	"D0"
"541"	"ENSMUSG00000040710"	"St8sia4"	0.863882957279657	"specific"	"ECs"	1	"D0"
"553"	"ENSMUSG00000041498"	"Kif14"	0.941962462632094	"specific"	"ECs"	1	"D0"
"557"	"ENSMUSG00000041757"	"Plekha6"	0.806217450912171	"specific"	"FAPs"	1	"D0"
"562"	"ENSMUSG00000041907"	"Gpr45"	1	"specific"	"FAPs"	1	"D0"
"573"	"ENSMUSG00000042451"	"Mybph"	1	"specific"	"sCs"	1	"D0"
"574"	"ENSMUSG00000042510"	"AA986860"	1	"specific"	"sCs"	1	"D0"
"575"	"ENSMUSG00000042581"	"Thsd7b"	1	"specific"	"sCs"	1	"D0"
"576"	"ENSMUSG00000042684"	"Npl"	1	"specific"	"sCs"	1	"D0"
"581"	"ENSMUSG00000042793"	"Lgr6"	1	"specific"	"sCs"	1	"D0"
"585"	"ENSMUSG00000043263"	"Ifi209"	1	"specific"	"ECs"	1	"D0"
"586"	"ENSMUSG00000043282"	"Teddm1b"	1	"specific"	"FAPs"	1	"D0"
"589"	"ENSMUSG00000043629"	"1700019D03Rik"	1	"specific"	"FAPs"	1	"D0"
"593"	"ENSMUSG00000044628"	"Rnf208"	1	"specific"	"sCs"	1	"D0"
"598"	"ENSMUSG00000045259"	"Klhdc9"	1	"specific"	"sCs"	1	"D0"
"599"	"ENSMUSG00000045319"	"Proser2"	1	"specific"	"sCs"	1	"D0"
"600"	"ENSMUSG00000045381"	"Olfr433"	1	"specific"	"FAPs"	1	"D0"
"606"	"ENSMUSG00000046101"	"Mcmdc2"	1	"specific"	"ECs"	1	"D0"
"612"	"ENSMUSG00000046854"	"Pip5kl1"	1	"specific"	"FAPs"	1	"D0"
"614"	"ENSMUSG00000047048"	"Olfr432"	1	"specific"	"FAPs"	1	"D0"
"615"	"ENSMUSG00000047053"	"Teddm1a"	1	"specific"	"FAPs"	1	"D0"
"617"	"ENSMUSG00000047180"	"Neurl3"	1	"specific"	"ECs"	1	"D0"
"620"	"ENSMUSG00000047361"	"Gm973"	0.859633033188084	"specific"	"sCs"	1	"D0"
"621"	"ENSMUSG00000047363"	"Cstad"	1	"specific"	"sCs"	1	"D0"
"623"	"ENSMUSG00000047443"	"Erfe"	0.913974193750297	"specific"	"sCs"	1	"D0"
"624"	"ENSMUSG00000047496"	"Rnf152"	1	"specific"	"sCs"	1	"D0"
"628"	"ENSMUSG00000048096"	"Lmod1"	0.902839723431669	"specific"	"sCs"	1	"D0"
"630"	"ENSMUSG00000048186"	"Bend7"	1	"specific"	"sCs"	1	"D0"
"635"	"ENSMUSG00000048814"	"Lonrf2"	1	"specific"	"FAPs"	1	"D0"
"636"	"ENSMUSG00000048865"	"Arhgap30"	0.996978801026302	"specific"	"ECs"	1	"D0"
"641"	"ENSMUSG00000049866"	"Arl4c"	0.851863792980291	"specific"	"ECs"	1	"D0"
"642"	"ENSMUSG00000049897"	"Stkld1"	1	"specific"	"FAPs"	1	"D0"
"644"	"ENSMUSG00000050530"	"Fam171a1"	0.843840520999142	"specific"	"FAPs"	1	"D0"
"646"	"ENSMUSG00000050592"	"Fam78a"	1	"specific"	"FAPs"	1	"D0"
"648"	"ENSMUSG00000050737"	"Ptges"	1	"specific"	"FAPs"	1	"D0"
"653"	"ENSMUSG00000051373"	"Plpp7"	0.810962672058699	"specific"	"FAPs"	1	"D0"
"655"	"ENSMUSG00000051590"	"Map3k19"	0.828274279127541	"specific"	"FAPs"	1	"D0"
"666"	"ENSMUSG00000052760"	"A630001G21Rik"	1	"specific"	"ECs"	1	"D0"
"669"	"ENSMUSG00000053461"	"Hhipl2"	1	"specific"	"FAPs"	1	"D0"
"675"	"ENSMUSG00000054545"	"Ugt1a6a"	0.876413879317543	"specific"	"FAPs"	1	"D0"
"676"	"ENSMUSG00000054702"	"Ap1s3"	1	"specific"	"sCs"	1	"D0"
"683"	"ENSMUSG00000056220"	"Pla2g4a"	0.912603122715065	"specific"	"FAPs"	1	"D0"
"693"	"ENSMUSG00000058248"	"Kcnh1"	1	"specific"	"sCs"	1	"D0"
"703"	"ENSMUSG00000059429"	"Olfr365"	1	"specific"	"sCs"	1	"D0"
"705"	"ENSMUSG00000060244"	"Alyref2"	1	"specific"	"sCs"	1	"D0"
"724"	"ENSMUSG00000064294"	"Aox3"	1	"specific"	"FAPs"	1	"D0"
"726"	"ENSMUSG00000066677"	"Ifi208"	0.89331287806313	"specific"	"ECs"	1	"D0"
"731"	"ENSMUSG00000067081"	"Asb18"	1	"specific"	"sCs"	1	"D0"
